,Unnamed: 0,Unnamed: 0.1,tweet_id,input,output
0,0.0,,1255263076087185413,"Accidents happen.
 
Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

Posted onApril 11, 2020",0
1,1.0,,1254390256461365248,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICLXotM",0
2,2.0,,1251308087467802624,"@MzMugzzi Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

Posted onApril 11, 20200

Time to Read:Less than a minute-121words",0
3,3.0,,1251163393790099457,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Amuses https://t.co/M2mICMeZlk",0
4,4.0,,1250166483570905088,"🎵🎺 🥁🎤Blue Skies....smiling at me 😎 
                       Nothing but blue skies 
                       Do I see

skyscraper Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LEgoJW99bt",0
5,5.0,,1250142746389540864,"Huh? Is this real? Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/VN8XTEx5Tv",0
6,6.0,,1250109734578827264,"I have been warning for weeks, this virus is airborne, spayed to spread.. Now Confirmed. We will see a dramatic drop in outbreaks 

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended Posted onApril 11, 20200 https://t.co/Aik6470hx3",0
7,7.0,,1250029387325603840,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/7ujLAzcHRA",0
8,8.0,,1250021999025565696,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/LH6gaB2sJI
@flowersoul 
#chemtrails #GeoEngineering #weathermodification #COVID2019",0
9,9.0,,1250005501347352576,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/cnmXPaewBw",0
10,10.0,,1249812929245044736,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters/ 😳 https://t.co/D6wUhLnNvD",0
11,11.0,,1249740658744557569,"Wait what!  I thought chemtrails weren’t real! 😒

Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2INWAm6eFs",0
12,12.0,,1249720763785109504,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/03wO7pW32y",0
13,13.0,,1249477334543093766,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/LSaerQwef4",0
14,14.0,,1249439553343172610,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@Kabamur_Taygeta⁩ if true this is insanity.  https://t.co/n9BtNEevGR",0
15,15.0,,1249418675251113985,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/TNQztgPQf0",0
16,16.0,,1249416078410895361,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/MeC1C991lC",0
17,17.0,,1249411295377416192,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/6TxuMLvTVV",0
18,18.0,,1249410487542001665,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters ⁦@JasonBermas⁩  https://t.co/t7Xi07GjCt",0
19,19.0,,1249410299884711936,"@Inevitable_ET Whats happened to this tweet?
pentagon-confirms-coronavirus-accidently-got-into-chemtrail-supply-chain-spraying-is-suspended/",0
20,20.0,,1249397211273875462,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended - https://t.co/3zxHUQr09E",0
21,21.0,,1249392791219851264,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/NJshRxb2kS",0
22,22.0,,1249369470507892736,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters

🤔 https://t.co/1Q8fow3iiC",0
23,23.0,,1249367725773746177,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11, 20200   Accidently! https://t.co/xJyxZN6vkU",0
24,24.0,,1249234690554331136,"#COVID19 &amp; Chemtrail Fluids

@Pentagon Confirms #coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended

https://t.co/VN8REN8cQt",0
25,25.0,,1249211245623783424,"[NEWS] Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended https://t.co/OWJzKlGci3",0
26,26.0,,1249178858374533120,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended. https://t.co/plsLSzGGvi",0
27,27.0,,1249178669056131073,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News That Matters https://t.co/2niiIMWWTG",0
